City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
192,Kokopo,-4.352,152.2633,80.2,83,86,6.13,PG,overcast clouds
193,Mukalla,14.5425,49.1242,90.39,54,78,11.95,YE,broken clouds
194,Maintirano,-18.0667,44.0167,82.94,57,30,10.49,MG,scattered clouds
195,Geraldton,-28.7667,114.6,73.81,56,75,4.61,AU,broken clouds
196,Vila Velha,-20.3297,-40.2925,71.94,94,40,2.3,BR,scattered clouds
197,Hit,33.6416,42.8251,88.45,17,0,15.14,IQ,clear sky
198,Aasiaat,68.7098,-52.8699,25.93,97,97,4.85,GL,overcast clouds
199,Karratha,-20.7377,116.8463,80.82,48,68,9.22,AU,broken clouds
200,Illapel,-31.6308,-71.1653,55.06,65,0,1.72,CL,clear sky
201,Betio Village,1.358,172.9211,82.44,78,99,10.96,KI,light rain
202,Acapulco De Juarez,16.8634,-99.8901,80.74,78,1,4.79,MX,clear sky
203,Menongue,-14.6585,17.691,84.09,25,9,5.32,AO,clear sky
204,San Juan De Miraflores,-12.1629,-76.9635,71.17,86,99,8.93,PE,overcast clouds
205,Antofagasta,-23.65,-70.4,54.68,75,1,6.78,CL,clear sky
206,St. John'S,47.5649,-52.7093,36.97,97,100,10.36,CA,mist
207,Udachny,66.4167,112.4,17.46,52,100,15.35,RU,overcast clouds
208,Duba,27.3513,35.6901,79.56,50,0,17.38,SA,clear sky
209,Kulhudhuffushi,6.6221,73.07,84.69,69,81,16.31,MV,broken clouds
210,Megion,61.0296,76.1136,78.82,24,55,19.44,RU,broken clouds
211,Okhotsk,59.3833,143.3,35.44,84,84,7.11,RU,broken clouds
212,Brazzaville,-4.2658,15.2832,86.36,66,20,3.44,CG,few clouds
213,Ajdovscina,45.886,13.9095,78.84,65,97,3.96,SI,overcast clouds
214,Yako,12.9667,-2.2667,96.19,32,72,7.92,BF,broken clouds
215,Dombarovskiy,50.7587,59.5386,76.05,19,76,13.56,RU,broken clouds
216,Ondjiva,-17.0667,15.7333,87.57,22,6,5.12,AO,clear sky
217,Harnai,30.1005,67.9374,87.55,7,0,14.38,PK,clear sky
218,Baker City,44.7749,-117.8344,45.59,93,100,0.0,US,overcast clouds
219,Charters Towers,-20.1,146.2667,74.75,46,60,10.4,AU,broken clouds
